Number,Title,Publication Year,Labels,DOI
52,Enhanced CoAtNet based hybrid deep learning architecture for automated tuberculosis detection in human chest X-rays.,2025,diagnostics; infectious disease; COVID-19; tuberculosis; deep learning; computer vision; radiology,
53,Risk factors analysis of COVID-19 patients with ARDS and prediction based on machine learning.,2021,diagnostics; infectious disease; COVID-19; machine learning,
54,Development of a machine learning prognostic model for early prediction of scrub typhus progression at hospital admission based on clinical and laboratory features.,2025,diagnostics; therapeutics; infectious disease; microbiology; typhus; machine learning,
55,"Comparison of machine learning algorithms applied to symptoms to determine infectious causes of death in children: national survey of 18,000 verbal autopsies in the Million Death Study in India.",2021,diagnostics; infectious disease; infectious causes of death; paediatric infections; machine learning; paediatrics; verbal autopsy; public health; cause-of-death classification,10.1186/s12889-021-11829-y
56,Development and application of an early prediction model for risk of bloodstream infection based on real-world study.,2025,diagnostics; infectious disease; sepsis; bloodstream infection; machine learning,
57,Coronavirus disease analysis using chest X-ray images and a novel deep convolutional neural network.,2021,diagnostics; infectious disease; COVID-19; neural network; deep learning; computer vision; radiology,
58,Identification of potential pan-coronavirus therapies using a computational drug repurposing platform.,2022,diagnostics; therapeutics; microbiology; infectious disease; COVID-19; neural network,
59,ResGloTBNet: An interpretable deep residual network with global long-range dependency for tuberculosis screening of sputum smear microscopy images.,2025,diagnostics; infectious disease; tuberculosis; deep learning; computer vision; machine learning; microscopy; screening,
60,Appropriate use of blood cultures in the emergency department through machine learning (ABC): study protocol for a randomised controlled non-inferiority trial.,2024,diagnostics; infectious disease; bloodstream infection; machine learning; infectious diseases; randomized controlled trial; trial,
61,Evaluating the accuracy of artificial intelligence-powered chest X-ray diagnosis for paediatric pulmonary tuberculosis (EVAL-PAEDTBAID): Study protocol for a multi-centre diagnostic accuracy study.,2025,diagnostics; microbiology; infectious disease; tuberculosis; respiratory infection; deep learning; computer vision; radiology; paediatrics,
62,Explainable AI for Symptom-Based Detection of mpox: a machine learning approach.,2025,diagnostics; infectious disease; monkeypox; machine learning; mpox,
63,The Use of ChatGPT for education Modules on Integrated Pharmacotherapy of infectious disease: Educators' Perspectives.,2024,education; infectious disease; infectious disease broad; Large Language Model; ChatGPT; natural language processing; pharmacotherapy; antimicrobial; medical education,10.2196/47339
64,Classification of Tetanus Severity in Intensive-Care Settings for Low-Income Countries Using Wearable Sensing.,2022,diagnostics; infectious disease; tetanus; deep learning; neural network,
65,A Novel COVID-19 Diagnosis Support System Using the Stacking Approach and Transfer Learning Technique on Chest X-Ray Images.,2021,diagnostics; infectious disease; COVID-19; deep learning; machine learning; computer vision; radiology,
66,Development and application of a deep learning-based tuberculosis diagnostic assistance system in remote areas of Northwest China.,2025,diagnostics; infectious disease; tuberculosis; mycobacterium; computer vision; machine learning; deep learning; radiology,
67,Automatic detection of patients with invasive fungal disease from free-text computed tomography (CT) scans.,2015,diagnostics; microbiology; infectious disease; fungal species (variety/broad); natural language processing; radiology,
68,Use of ChatGPT in HIV Infection Counselling and Literacy.,2025,education; infectious disease; HIV; large language model,
69,Sepsis as Seen through the Eyes of AI: A Comparative evaluation of ChatGPT and Gemini.,2026,education; infectious disease; sepsis; large language model; public health,
70,Development and evaluation of a diagnostic aiding tool for differentiating tropical fevers using artificial intelligence approach: a study protocol from tertiary care hospital in South India.,2026,diagnostics; education; infectious disease; tropical fever; machine learning; simulated patient,
71,Utilizing AI CAD for early pandemic screening in chest radiographs.,2026,diagnostics; infectious disease; respiratory infection; computer vision; radiology; screening,
72,Active regression model for clinical grading of COVID-19.,2023,diagnostics; infectious disease; COVID-19; regression modelling,
73,AI-driven drug resistance profiling in tuberculosis patients: A transfer learning approach.,2025,therapeutics; infectious disease; tuberculosis; MDRO; deep learning,
